artist,song,label,position,start_date,end_date
Capital Bra,Benzema,Universal Domestic Urban,1,28.12.2018,03.01.2019
Mariah Carey,All I Want For Christmas Is You,SME - Columbia,2,28.12.2018,03.01.2019
Wham!,Last Christmas,SME - Epic,3,28.12.2018,03.01.2019
Ava Max,Sweet But Psycho,Atlantic,4,28.12.2018,03.01.2019
Chris Rea,Driving Home For Christmas,Warner Music International,5,28.12.2018,03.01.2019
Azet & Zuna,Lelele,KMN Gang,6,28.12.2018,03.01.2019
Melanie Thornton,Wonderful Dream (Holidays Are Coming),X-Cell,7,28.12.2018,03.01.2019
Sido,Tausend Tattoos,Universal Domestic Urban,8,28.12.2018,03.01.2019
Shakin' Stevens,Merry Christmas Everyone,SME - Epic,9,28.12.2018,03.01.2019
John & Yoko / The Plastic Ono Band with The Harlem Community Choir,Happy Xmas (War Is Over),EMI,10,28.12.2018,03.01.2019
Mero,Baller los,Groove Attack,11,28.12.2018,03.01.2019
Pentatonix,Hallelujah,SME - RCA International,12,28.12.2018,03.01.2019
Paul McCartney,Wonderful Christmastime,Capitol,13,28.12.2018,03.01.2019
Ariana Grande,Santa Tell Me,Universal,14,28.12.2018,03.01.2019
Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise,15,28.12.2018,03.01.2019
Queen,Thank God It's Christmas,Universal,16,28.12.2018,03.01.2019
Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,17,28.12.2018,03.01.2019
Panic! At The Disco,High Hopes,Atlantic,18,28.12.2018,03.01.2019
José Feliciano,Feliz Navidad,SME - RCA International,19,28.12.2018,03.01.2019
Bryan Adams,Christmas Time,Universal,20,28.12.2018,03.01.2019
Band Aid,Do They Know It's Christmas?,Mercury,21,28.12.2018,03.01.2019
"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard,SoulForce Records,22,28.12.2018,03.01.2019
Kelly Clarkson,Underneath The Tree,SME - RCA International,23,28.12.2018,03.01.2019
Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,24,28.12.2018,03.01.2019
Dean Lewis,Be Alright,Universal,25,28.12.2018,03.01.2019
Brenda Lee,Rockin' Around The Christmas Tree,Universal,26,28.12.2018,03.01.2019
Nimo & Capo,Zoey,Universal Domestic Urban,27,28.12.2018,03.01.2019
Halsey,Without Me,Capitol,28,28.12.2018,03.01.2019
Kontra K,Farben,BMG,29,28.12.2018,03.01.2019
Daryl Hall & John Oates,Jingle Bell Rock (Daryl's Version),Sony Music,30,28.12.2018,03.01.2019
Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,31,28.12.2018,03.01.2019
Rita Ora,Let You Love Me,Atlantic,32,28.12.2018,03.01.2019
Britney Spears,My Only Wish (This Year),Sony Music,33,28.12.2018,03.01.2019
Capital Bra,Feuer,SME - Bushido,34,28.12.2018,03.01.2019
Michael Bublé & Shania Twain,White Christmas,Reprise,35,28.12.2018,03.01.2019
"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki,Geffen Records,36,28.12.2018,03.01.2019
Lady Gaga & Bradley Cooper,Shallow,Interscope,37,28.12.2018,03.01.2019
Coldplay,Christmas Lights,Parlophone Label Group,38,28.12.2018,03.01.2019
Mark Forster,Einmal,SME - Four Music,39,28.12.2018,03.01.2019
Bobby Helms,Jingle Bell Rock,K-Tel,40,28.12.2018,03.01.2019
Sam Smith,Have Yourself A Merry Little Christmas,Capitol,41,28.12.2018,03.01.2019
Andy Williams,It's The Most Wonderful Time Of The Year,Sony Music,42,28.12.2018,03.01.2019
Ariana Grande,"Thank U, Next",Universal,43,28.12.2018,03.01.2019
Samra,Cataleya,SME - Bushido,44,28.12.2018,03.01.2019
Meghan Trainor,I'll Be Home,SME - Epic,45,28.12.2018,03.01.2019
Miley Cyrus & Mark Ronson feat. Sean Ono Lennon,Happy Xmas (War Is Over),SME - Columbia,46,28.12.2018,03.01.2019
Alle Farben & Ilira,Fading,B1 Recordings,47,28.12.2018,03.01.2019
Loredana,Milliondollar$mile,Loredana,48,28.12.2018,03.01.2019
Band Aid 30,Do They Know It's Christmas? (2014),EMI,49,28.12.2018,03.01.2019
Sia,Santa's Coming For Us,Atlantic,50,28.12.2018,03.01.2019
Marshmello & Bastille,Happier,Universal,51,28.12.2018,03.01.2019
Calvin Harris & Sam Smith,Promises,SME - Columbia,52,28.12.2018,03.01.2019
Gwen Stefani feat. Blake Shelton,You Make It Feel Like Christmas,Interscope,53,28.12.2018,03.01.2019
Rolf Zuckowski und seine Freunde,In der Weihnachtsbäckerei,Musik für Dich,54,28.12.2018,03.01.2019
Capital Bra feat. Xatar x SAMY,Ich liebe es,SME - Bushido,55,28.12.2018,03.01.2019
Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart,SME - Columbia,56,28.12.2018,03.01.2019
*N Sync,"Merry Christmas, Happy Holidays",Sony Music,57,28.12.2018,03.01.2019
Lukas Graham,Love Someone,Universal Domestic Island,58,28.12.2018,03.01.2019
Justin Bieber,Mistletoe,Island,59,28.12.2018,03.01.2019
Kylie Minogue,Santa Baby,Parlophone Label Group,60,28.12.2018,03.01.2019
Imagine Dragons,Natural,Interscope,61,28.12.2018,03.01.2019
Luciano [DE],Meer,Universal Domestic Urban,62,28.12.2018,03.01.2019
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol,63,28.12.2018,03.01.2019
XXXTentacion x Lil Pump feat. Maluma & Swae Lee,Arms Around You,Warner Music International,64,28.12.2018,03.01.2019
Sarah Connor,The Best Side Of Life,X-Cell,65,28.12.2018,03.01.2019
Michael Bublé,Santa Claus Is Coming To Town,Reprise,66,28.12.2018,03.01.2019
Frankie Goes To Hollywood,The Power Of Love,Salvo,67,28.12.2018,03.01.2019
Slade,Merry Xmas Everybody,Polydor,68,28.12.2018,03.01.2019
Elton John,Step Into Christmas,Mercury,69,28.12.2018,03.01.2019
Dean Martin,Rudolph The Red Nosed Reindeer,Capitol,70,28.12.2018,03.01.2019
Loud Luxury feat. Brando,Body,Kontor Records,71,28.12.2018,03.01.2019
RIN,Dior 2001,Division,72,28.12.2018,03.01.2019
Eartha Kitt with Henri René and his Orchestra,Santa Baby,SME - Columbia,73,28.12.2018,03.01.2019
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,Sony Music,74,28.12.2018,03.01.2019
The Ronettes,Sleigh Ride,Sony Music,75,28.12.2018,03.01.2019
Ed Sheeran,Perfect,Atlantic,76,28.12.2018,03.01.2019
Michael Bublé,Holly Jolly Christmas,Reprise,77,28.12.2018,03.01.2019
LEA x Cyril,Immer wenn wir uns sehn,SME - Four Music,78,28.12.2018,03.01.2019
Capital Bra,Allein,SME - Bushido,79,28.12.2018,03.01.2019
Dardan,Facetime,Hypnotize Entertainment,80,28.12.2018,03.01.2019
Bing Crosby,White Christmas,Universal,81,28.12.2018,03.01.2019
Bonez MC & RAF Camora feat. Gzuz,Kokain,Universal Domestic Vertigo,82,28.12.2018,03.01.2019
Bruce Springsteen,Santa Claus Is Comin' To Town,SME - Columbia,83,28.12.2018,03.01.2019
RAF Camora & AriBeatz feat. Sofiane,Perfekt,SME - Andere Liga,84,28.12.2018,03.01.2019
Capital Bra feat. Juju,Melodien,SME - Bushido,85,28.12.2018,03.01.2019
El Profesor,Bella ciao (Hugel Remix),Kontor Records,86,28.12.2018,03.01.2019
Backstreet Boys,Christmas Time,SME - RCA International,87,28.12.2018,03.01.2019
"Benny Blanco, Halsey & Khalid",Eastside,Universal,88,28.12.2018,03.01.2019
Kelly Clarkson,Christmas Eve,Atlantic,89,28.12.2018,03.01.2019
Perry Como & The Fontane Sisters,It's Beginning To Look A Lot Like Christmas,Crimson,90,28.12.2018,03.01.2019
Armin van Buuren,Blah Blah Blah,Kontor Records,91,28.12.2018,03.01.2019
Maroon 5 feat. Cardi B,Girls Like You,Interscope,92,28.12.2018,03.01.2019
Luciano [DE],Hayate,Universal Domestic Urban,93,28.12.2018,03.01.2019
Frank Sinatra,Jingle Bells,Capitol,94,28.12.2018,03.01.2019
Jona Lewie,Stop The Cavalry,Metro,95,28.12.2018,03.01.2019
Burl Ives,A Holly Jolly Christmas,Geffen Records,96,28.12.2018,03.01.2019
Hurts,All I Want For Christmas Is New Years Day,SME - Four Music,97,28.12.2018,03.01.2019
Leona Lewis,Winter Wonderland,SME - Syco Music,98,28.12.2018,03.01.2019
The Kingdom Choir feat. Camélia Jordana & Namika,Holidays Are Coming,Sony Music,99,28.12.2018,03.01.2019
Veysel feat. Gzuz,UFF,Bela Boyz,100,28.12.2018,03.01.2019
Ava Max,Sweet But Psycho,Atlantic,1,04.01.2019,10.01.2019
Capital Bra,Benzema,Universal Domestic Urban,2,04.01.2019,10.01.2019
"LX & Maxwell feat. Bonez MC, Gzuz & Sa4",HaifischNikez Allstars,187 Strassenbande,3,04.01.2019,10.01.2019
Sido,Tausend Tattoos,Universal Domestic Urban,4,04.01.2019,10.01.2019
Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,5,04.01.2019,10.01.2019
Panic! At The Disco,High Hopes,Atlantic,6,04.01.2019,10.01.2019
Mero,Baller los,Groove Attack,7,04.01.2019,10.01.2019
Azet & Zuna,Lelele,KMN Gang,8,04.01.2019,10.01.2019
Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,9,04.01.2019,10.01.2019
"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard,SoulForce Records,10,04.01.2019,10.01.2019
"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki,Geffen Records,11,04.01.2019,10.01.2019
Dean Lewis,Be Alright,Universal,12,04.01.2019,10.01.2019
Halsey,Without Me,Capitol,13,04.01.2019,10.01.2019
Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,14,04.01.2019,10.01.2019
Marshmello & Bastille,Happier,Universal,15,04.01.2019,10.01.2019
Rita Ora,Let You Love Me,Atlantic,16,04.01.2019,10.01.2019
Calvin Harris & Sam Smith,Promises,SME - Columbia,17,04.01.2019,10.01.2019
Lady Gaga & Bradley Cooper,Shallow,Interscope,18,04.01.2019,10.01.2019
Nimo & Capo,Zoey,Universal Domestic Urban,19,04.01.2019,10.01.2019
Kerstin Ott & Helene Fischer,Regenbogenfarben,Universal Domestic Polydor,20,04.01.2019,10.01.2019
Alle Farben & Ilira,Fading,B1 Recordings,21,04.01.2019,10.01.2019
Ariana Grande,"Thank U, Next",Universal,22,04.01.2019,10.01.2019
Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart,SME - Columbia,23,04.01.2019,10.01.2019
Mark Forster,Einmal,SME - Four Music,24,04.01.2019,10.01.2019
Capital Bra,Feuer,SME - Bushido,25,04.01.2019,10.01.2019
Loud Luxury feat. Brando,Body,Kontor Records,26,04.01.2019,10.01.2019
Kontra K,Farben,BMG,27,04.01.2019,10.01.2019
Post Malone,Wow.,Republic Records,28,04.01.2019,10.01.2019
Samra,Cataleya,SME - Bushido,29,04.01.2019,10.01.2019
El Profesor,Bella ciao (Hugel Remix),Kontor Records,30,04.01.2019,10.01.2019
XXXTentacion x Lil Pump feat. Maluma & Swae Lee,Arms Around You,Warner Music International,31,04.01.2019,10.01.2019
Imagine Dragons,Natural,Interscope,32,04.01.2019,10.01.2019
Calvin Harris & Dua Lipa,One Kiss,SME - Columbia,33,04.01.2019,10.01.2019
Loredana,Milliondollar$mile,Loredana,34,04.01.2019,10.01.2019
Capital Bra feat. Xatar x SAMY,Ich liebe es,SME - Bushido,35,04.01.2019,10.01.2019
Clean Bandit feat. Demi Lovato,Solo,Atlantic,36,04.01.2019,10.01.2019
Luciano [DE],Meer,Universal Domestic Urban,37,04.01.2019,10.01.2019
Maroon 5 feat. Cardi B,Girls Like You,Interscope,38,04.01.2019,10.01.2019
Lukas Graham,Love Someone,Universal Domestic Island,39,04.01.2019,10.01.2019
"Benny Blanco, Halsey & Khalid",Eastside,Universal,40,04.01.2019,10.01.2019
RIN,Dior 2001,Division,41,04.01.2019,10.01.2019
"David Guetta, Bebe Rexha & J Balvin",Say My Name,Parlophone Label Group,42,04.01.2019,10.01.2019
Lost Frequencies feat. The NGHBRS,Like I Love You,Kontor Records,43,04.01.2019,10.01.2019
Post Malone & Swae Lee,Sunflower,Universal,44,04.01.2019,10.01.2019
Jonas Blue feat. Jack & Jack,Rise,Virgin Records,45,04.01.2019,10.01.2019
Leon Machère,Copacabana,PMR Music,46,04.01.2019,10.01.2019
Josh.,Cordula Grün,Warner Music Germany,47,04.01.2019,10.01.2019
Armin van Buuren,Blah Blah Blah,Kontor Records,48,04.01.2019,10.01.2019
Ed Sheeran,Perfect,Atlantic,49,04.01.2019,10.01.2019
Dardan,Facetime,Hypnotize Entertainment,50,04.01.2019,10.01.2019
Loredana x Mozzik,Bonnie & Clyde,Loredana,51,04.01.2019,10.01.2019
Bonez MC & RAF Camora feat. Gzuz,Kokain,Universal Domestic Vertigo,52,04.01.2019,10.01.2019
Namika feat. Black M,Je ne parle pas français (Beatgees Remix),SME - Jive Germany,53,04.01.2019,10.01.2019
LEA x Cyril,Immer wenn wir uns sehn,SME - Four Music,54,04.01.2019,10.01.2019
Dennis Lloyd,Nevermind,Warner Music International,55,04.01.2019,10.01.2019
Capital Bra feat. Juju,Melodien,SME - Bushido,56,04.01.2019,10.01.2019
Summer Cem & Bausa,Casanova,Banger Musik,57,04.01.2019,10.01.2019
Nimo & Capo,Anderes Niveau,Universal Domestic Urban,58,04.01.2019,10.01.2019
Kodak Black feat. Travis Scott & Offset,Zeze,Atlantic,59,04.01.2019,10.01.2019
RAF Camora & AriBeatz feat. Sofiane,Perfekt,SME - Andere Liga,60,04.01.2019,10.01.2019
"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,61,04.01.2019,10.01.2019
Luciano [DE],Hayate,Universal Domestic Urban,62,04.01.2019,10.01.2019
Ellie Goulding x Diplo feat. Swae Lee,Close To Me,Polydor,63,04.01.2019,10.01.2019
Bad Bunny feat. Drake,Mia,OVO Sound,64,04.01.2019,10.01.2019
Post Malone,Better Now,Universal,65,04.01.2019,10.01.2019
Marshmello & Anne-Marie,Friends,Atlantic,66,04.01.2019,10.01.2019
George Ezra,Shotgun,SME - Columbia,67,04.01.2019,10.01.2019
Travis Scott,Sicko Mode,SME - Epic,68,04.01.2019,10.01.2019
Capital Bra,Allein,SME - Bushido,69,04.01.2019,10.01.2019
Veysel feat. Gzuz,UFF,Bela Boyz,70,04.01.2019,10.01.2019
Lena,Thank You,Universal Domestic Polydor,71,04.01.2019,10.01.2019
Felix Jaehn feat. R. City & Bori,Jennie,Virgin Records,72,04.01.2019,10.01.2019
Imagine Dragons,Bad Liar,Interscope,73,04.01.2019,10.01.2019
Ed Sheeran,Shape Of You,Atlantic,74,04.01.2019,10.01.2019
Bausa,Was du Liebe nennst,Warner Music Germany,75,04.01.2019,10.01.2019
Zara Larsson,Ruin My Life,SME - Epic,76,04.01.2019,10.01.2019
Capital Bra feat. Ufo361,Neymar,SME - Team Kuku,77,04.01.2019,10.01.2019
Azet & Zuna,Skam koh,KMN Gang,78,04.01.2019,10.01.2019
"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,Atlantic,79,04.01.2019,10.01.2019
Dua Lipa & Blackpink,Kiss And Make Up,Universal Domestic Urban,80,04.01.2019,10.01.2019
King Khalil feat. Lil Lano,Para illegal,SME - Team Kuku,81,04.01.2019,10.01.2019
Luis Fonsi feat. Daddy Yankee,Despacito,Universal,82,04.01.2019,10.01.2019
Olexesh feat. Edin,Magisch,385ideal,83,04.01.2019,10.01.2019
Aya Nakamura feat. Loredana,Djadja (Remix),Rec. 118,84,04.01.2019,10.01.2019
Luciano feat. Nimo,Valentino Camouflage,Universal Domestic Urban,85,04.01.2019,10.01.2019
Andreas Gabalier,Hulapalu,Electrola,86,04.01.2019,10.01.2019
Nico Santos,Rooftop,Virgin Records,87,04.01.2019,10.01.2019
Kris Kross Amsterdam x The Boy Next Door feat. Conor Maynard,Whenever,Spinnin' Records,88,04.01.2019,10.01.2019
Queen,Bohemian Rhapsody,Island,89,04.01.2019,10.01.2019
Kygo feat. Sandro Cavazza,Happy Now,B1 Recordings,90,04.01.2019,10.01.2019
Capital Bra feat. Luciano & Eno,Roli Glitzer Glitzer,SME - Team Kuku,91,04.01.2019,10.01.2019
Veysel feat. Summer Cem,Sag schon,Bela Boyz,92,04.01.2019,10.01.2019
Camila Cabello feat. Young Thug,Havana,SME - Epic,93,04.01.2019,10.01.2019
Capital Bra,One Night Stand,SME - Team Kuku,94,04.01.2019,10.01.2019
Post Malone feat. 21 Savage,Rockstar,Universal,95,04.01.2019,10.01.2019
David Guetta / Martin Garrix / Brooks,Like I Do,Parlophone Label Group,96,04.01.2019,10.01.2019
Lil Peep & XXXTentacion,Falling Down,SME - Columbia,97,04.01.2019,10.01.2019
Jason Derulo x David Guetta feat. Nicki Minaj and Willy William,Goodbye,Beluga Heights,98,04.01.2019,10.01.2019
David Guetta & Sia,Flames,Parlophone Label Group,99,04.01.2019,10.01.2019
Bonez MC & RAF Camora,Nummer unterdrückt,Universal Domestic Vertigo,100,04.01.2019,10.01.2019
Ava Max,Sweet But Psycho,Atlantic,1,11.01.2019,17.01.2019
Capital Bra,Benzema,Universal Domestic Urban,2,11.01.2019,17.01.2019
"LX & Maxwell feat. Bonez MC, Gzuz & Sa4",HaifischNikez Allstars,187 Strassenbande,3,11.01.2019,17.01.2019
Sido,Tausend Tattoos,Universal Domestic Urban,4,11.01.2019,17.01.2019
Panic! At The Disco,High Hopes,Atlantic,5,11.01.2019,17.01.2019
Mero,Baller los,Groove Attack,6,11.01.2019,17.01.2019
Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,7,11.01.2019,17.01.2019
Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,8,11.01.2019,17.01.2019
Azet & Zuna,Lelele,KMN Gang,9,11.01.2019,17.01.2019
Dean Lewis,Be Alright,Universal,10,11.01.2019,17.01.2019
"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard,SoulForce Records,11,11.01.2019,17.01.2019
Halsey,Without Me,Capitol,12,11.01.2019,17.01.2019
Nash & Azet,"Crack, Koks, Piece Unternehmen",KMN Gang,13,11.01.2019,17.01.2019
Lady Gaga & Bradley Cooper,Shallow,Interscope,14,11.01.2019,17.01.2019
Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,15,11.01.2019,17.01.2019
Alle Farben & Ilira,Fading,B1 Recordings,16,11.01.2019,17.01.2019
"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki,Geffen Records,17,11.01.2019,17.01.2019
Rita Ora,Let You Love Me,Atlantic,18,11.01.2019,17.01.2019
Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart,SME - Columbia,19,11.01.2019,17.01.2019
Nimo & Capo,Zoey,Universal Domestic Urban,20,11.01.2019,17.01.2019
Capo feat. Nimo,Lambo Diablo GT,Warner Music Germany,21,11.01.2019,17.01.2019
Post Malone,Wow.,Republic Records,22,11.01.2019,17.01.2019
Marshmello & Bastille,Happier,Universal,23,11.01.2019,17.01.2019
Capital Bra,Feuer,SME - Bushido,24,11.01.2019,17.01.2019
Kontra K,Farben,BMG,25,11.01.2019,17.01.2019
Ariana Grande,"Thank U, Next",Universal,26,11.01.2019,17.01.2019
Samra,Cataleya,SME - Bushido,27,11.01.2019,17.01.2019
XXXTentacion x Lil Pump feat. Maluma & Swae Lee,Arms Around You,Warner Music International,28,11.01.2019,17.01.2019
Calvin Harris & Sam Smith,Promises,SME - Columbia,29,11.01.2019,17.01.2019
Loredana,Milliondollar$mile,Loredana,30,11.01.2019,17.01.2019
Mark Forster,Einmal,SME - Four Music,31,11.01.2019,17.01.2019
Luciano [DE],Meer,Universal Domestic Urban,32,11.01.2019,17.01.2019
Capital Bra feat. Xatar x SAMY,Ich liebe es,SME - Bushido,33,11.01.2019,17.01.2019
"David Guetta, Bebe Rexha & J Balvin",Say My Name,Parlophone Label Group,34,11.01.2019,17.01.2019
Loud Luxury feat. Brando,Body,Kontor Records,35,11.01.2019,17.01.2019
Post Malone & Swae Lee,Sunflower,Universal,36,11.01.2019,17.01.2019
Imagine Dragons,Natural,Interscope,37,11.01.2019,17.01.2019
"Benny Blanco, Halsey & Khalid",Eastside,Universal,38,11.01.2019,17.01.2019
RIN,Dior 2001,Division,39,11.01.2019,17.01.2019
Lost Frequencies feat. The NGHBRS,Like I Love You,Kontor Records,40,11.01.2019,17.01.2019
Kerstin Ott & Helene Fischer,Regenbogenfarben,Universal Domestic Polydor,41,11.01.2019,17.01.2019
Lukas Graham,Love Someone,Universal Domestic Island,42,11.01.2019,17.01.2019
Dardan,Facetime,Hypnotize Entertainment,43,11.01.2019,17.01.2019
Ellie Goulding x Diplo feat. Swae Lee,Close To Me,Polydor,44,11.01.2019,17.01.2019
Luciano [DE],Hayate,Universal Domestic Urban,45,11.01.2019,17.01.2019
Kodak Black feat. Travis Scott & Offset,Zeze,Atlantic,46,11.01.2019,17.01.2019
RAF Camora & AriBeatz feat. Sofiane,Perfekt,SME - Andere Liga,47,11.01.2019,17.01.2019
Bonez MC & RAF Camora feat. Gzuz,Kokain,Universal Domestic Vertigo,48,11.01.2019,17.01.2019
LEA x Cyril,Immer wenn wir uns sehn,SME - Four Music,49,11.01.2019,17.01.2019
Capital Bra feat. Juju,Melodien,SME - Bushido,50,11.01.2019,17.01.2019
El Profesor,Bella ciao (Hugel Remix),Kontor Records,51,11.01.2019,17.01.2019
Ed Sheeran,Perfect,Atlantic,52,11.01.2019,17.01.2019
Maroon 5 feat. Cardi B,Girls Like You,Interscope,53,11.01.2019,17.01.2019
Veysel feat. Gzuz,UFF,Bela Boyz,54,11.01.2019,17.01.2019
Clean Bandit feat. Demi Lovato,Solo,Atlantic,55,11.01.2019,17.01.2019
Bad Bunny feat. Drake,Mia,OVO Sound,56,11.01.2019,17.01.2019
Leon Machère,Copacabana,PMR Music,57,11.01.2019,17.01.2019
Loredana x Mozzik,Bonnie & Clyde,Loredana,58,11.01.2019,17.01.2019
Imagine Dragons,Bad Liar,Interscope,59,11.01.2019,17.01.2019
Capital Bra,Allein,SME - Bushido,60,11.01.2019,17.01.2019
Summer Cem & Bausa,Casanova,Banger Musik,61,11.01.2019,17.01.2019
Zara Larsson,Ruin My Life,SME - Epic,62,11.01.2019,17.01.2019
Armin van Buuren,Blah Blah Blah,Kontor Records,63,11.01.2019,17.01.2019
Lena,Thank You,Universal Domestic Polydor,64,11.01.2019,17.01.2019
Travis Scott,Sicko Mode,SME - Epic,65,11.01.2019,17.01.2019
Jonas Blue feat. Jack & Jack,Rise,Virgin Records,66,11.01.2019,17.01.2019
Calvin Harris & Dua Lipa,One Kiss,SME - Columbia,67,11.01.2019,17.01.2019
Kygo feat. Sandro Cavazza,Happy Now,B1 Recordings,68,11.01.2019,17.01.2019
King Khalil feat. Lil Lano,Para illegal,SME - Team Kuku,69,11.01.2019,17.01.2019
Capital Bra feat. Ufo361,Neymar,SME - Team Kuku,70,11.01.2019,17.01.2019
George Ezra,Shotgun,SME - Columbia,71,11.01.2019,17.01.2019
Post Malone,Better Now,Universal,72,11.01.2019,17.01.2019
Dua Lipa & Blackpink,Kiss And Make Up,Universal Domestic Urban,73,11.01.2019,17.01.2019
Aya Nakamura feat. Loredana,Djadja (Remix),Rec. 118,74,11.01.2019,17.01.2019
Billie Eilish,When The Party's Over,Universal,75,11.01.2019,17.01.2019
Luciano feat. Nimo,Valentino Camouflage,Universal Domestic Urban,76,11.01.2019,17.01.2019
Dennis Lloyd,Nevermind,Warner Music International,77,11.01.2019,17.01.2019
Josh.,Cordula Grün,Warner Music Germany,78,11.01.2019,17.01.2019
Queen,Bohemian Rhapsody,Island,79,11.01.2019,17.01.2019
"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,80,11.01.2019,17.01.2019
Bausa,Was du Liebe nennst,Warner Music Germany,81,11.01.2019,17.01.2019
Capital Bra feat. Luciano & Eno,Roli Glitzer Glitzer,SME - Team Kuku,82,11.01.2019,17.01.2019
Namika feat. Black M,Je ne parle pas français (Beatgees Remix),SME - Jive Germany,83,11.01.2019,17.01.2019
Veysel feat. Summer Cem,Sag schon,Bela Boyz,84,11.01.2019,17.01.2019
Olexesh feat. Edin,Magisch,385ideal,85,11.01.2019,17.01.2019
Khalid,Better,SME - RCA International,86,11.01.2019,17.01.2019
C Arma,Yapma,C Arma,87,11.01.2019,17.01.2019
Bonez MC & RAF Camora,Nummer unterdrückt,Universal Domestic Vertigo,88,11.01.2019,17.01.2019
Lil Peep & XXXTentacion,Falling Down,SME - Columbia,89,11.01.2019,17.01.2019
Azet & Zuna,Skam koh,KMN Gang,90,11.01.2019,17.01.2019
Capital Bra,One Night Stand,SME - Team Kuku,91,11.01.2019,17.01.2019
Meek Mill feat. Drake,Going Bad,Atlantic,92,11.01.2019,17.01.2019
Eno,Mercedes,Alles Oder Nix Records,93,11.01.2019,17.01.2019
Chris Brown,Undecided,SME - RCA International,94,11.01.2019,17.01.2019
Marshmello & Anne-Marie,Friends,Atlantic,95,11.01.2019,17.01.2019
Nimo & Capo,Anderes Niveau,Universal Domestic Urban,96,11.01.2019,17.01.2019
Nura feat. Trettmann,Chaya,Jinx Music,97,11.01.2019,17.01.2019
FiNCH ASOZiAL,Abfahrt,Warner Music Germany,98,11.01.2019,17.01.2019
Felix Jaehn feat. R. City & Bori,Jennie,Virgin Records,99,11.01.2019,17.01.2019
Ed Sheeran,Shape Of You,Atlantic,100,11.01.2019,17.01.2019
Shindy,DODI,SME - Friends With Money,1,18.01.2019,24.01.2019
Ava Max,Sweet But Psycho,Atlantic,2,18.01.2019,24.01.2019
Capital Bra,Benzema,Universal Domestic Urban,3,18.01.2019,24.01.2019
Farid Bang,#niemalsantäuschen,Banger Musik,4,18.01.2019,24.01.2019
Panic! At The Disco,High Hopes,Atlantic,5,18.01.2019,24.01.2019
"LX & Maxwell feat. Bonez MC, Gzuz & Sa4",HaifischNikez Allstars,187 Strassenbande,6,18.01.2019,24.01.2019
Sido,Tausend Tattoos,Universal Domestic Urban,7,18.01.2019,24.01.2019
Fero47,Jaja,SME - Epic Domestic,8,18.01.2019,24.01.2019
Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,9,18.01.2019,24.01.2019
Mero,Baller los,Groove Attack,10,18.01.2019,24.01.2019
Halsey,Without Me,Capitol,11,18.01.2019,24.01.2019
Nimo & Capo,Shem Shem & Sex,Universal Domestic Urban,12,18.01.2019,24.01.2019
Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,13,18.01.2019,24.01.2019
Dean Lewis,Be Alright,Universal,14,18.01.2019,24.01.2019
"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard,SoulForce Records,15,18.01.2019,24.01.2019
Azet & Zuna,Lelele,KMN Gang,16,18.01.2019,24.01.2019
Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,17,18.01.2019,24.01.2019
Alle Farben & Ilira,Fading,B1 Recordings,18,18.01.2019,24.01.2019
Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart,SME - Columbia,19,18.01.2019,24.01.2019
"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki,Geffen Records,20,18.01.2019,24.01.2019
Lady Gaga & Bradley Cooper,Shallow,Interscope,21,18.01.2019,24.01.2019
Post Malone,Wow.,Republic Records,22,18.01.2019,24.01.2019
Capo feat. Nimo,Lambo Diablo GT,Warner Music Germany,23,18.01.2019,24.01.2019
Rita Ora,Let You Love Me,Atlantic,24,18.01.2019,24.01.2019
Nimo & Capo,Zoey,Universal Domestic Urban,25,18.01.2019,24.01.2019
